"Erst- und Folgeanträge",,,,,,,,,,,
,"Revisionen","Gerichtsentscheidungen",,,,,,,,,"Anhängige Rechtsmittel"
,,,"Asyl Art. 16a GG u. Fam.Asyl","(GFK) Flüchtlingsschutz","subsidiärer Schutz","Abschiebungsverbot","Ablehnungen",,"sonst. Verfahrenserledigungen (z. B. Rücknahmen)",,
,,,,,,,"absolut","Anteil","absolut","Anteil",
"Herkunftsländer gesamt",19,12,0,0,0,0,0,"0,0%",12,"100,0%",29
"Syrien",6,5,0,0,0,0,0,"0,0%",5,"100,0%",8
"Iran",4,0,0,0,0,0,0,,0,,4
"sonst. Asiat. Staatsangeh.",3,0,0,0,0,0,0,,0,,3
"Eritrea",2,0,0,0,0,0,0,,0,,3
"Kosovo",2,2,0,0,0,0,0,"0,0%",2,"100,0%",0
"Afghanistan",1,0,0,0,0,0,0,,0,,1
"Somalia",1,3,0,0,0,0,0,"0,0%",3,"100,0%",0
"Russische Föderation",0,2,0,0,0,0,0,"0,0%",2,"100,0%",1
