Herkunftsland, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiärer Schutz, Abschiebungsverbot, Ablehnungen 
Afghanistan,0,742,723,4056,3951
Syrien,15,5093,37,488,8817
Irak,2,306,207,254,3818
Nigeria,3,23,2,107,1349
Iran,29,555,9,36,800
Russische Föderation,0,75,22,92,872
Somalia,0,60,100,92,213
Georgien,0,3,5,12,645
Pakistan,0,283,12,36,2161
Gambia,0,2,1,6,473
Türkei,4,36,5,8,297
Armenien,0,3,21,48,700
Ungeklärt,0,207,14,54,432
Aserbaidschan,0,10,5,14,446
Eritrea,0,124,26,27,328
Algerien,0,2,0,6,192
Marokko,0,10,0,5,244
Tunesien,0,6,0,0,67
Albanien,0,0,0,13,423
Serbien,0,0,0,13,314
Mazedonien,0,0,0,15,338
Ghana,0,1,0,6,215
Kosovo,0,2,0,51,272
Bosnien und Herzegowina,0,0,0,12,107
Senegal,1,0,2,5,103
Montenegro,0,0,0,2,48
