Herkunftsland, Asyl Art. 16a GG u. Fam.Asyl, (GFK) Fluechtlingsschutz, Subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen absolut
Syrien,23,18571,141,335,11688
Afghanistan,8,1010,1219,5001,4589
Irak,0,499,196,235,4701
Russische Foed.,2,68,58,74,1457
Pakistan,0,589,17,46,2828
Albanien,0,1,28,81,2289
Kosovo,0,3,7,115,1902
Serbien,0,6,0,45,1654
Mazedonien,0,4,1,34,1348
Eritrea,0,250,25,19,514
Iran,16,738,17,22,841
Nigeria,5,22,0,77,1152
Ungeklaert,1,623,19,16,488
Ukraine,0,4,6,9,1192
Somalia,0,73,283,109,282
Georgien,0,5,7,26,880
Armenien,0,5,4,51,704
Bosn.-Herzeg.,0,0,0,17,341
Algerien,0,7,0,13,524
Guinea,0,2,0,4,275
