Herkunftsland, Klagen, Gerichtsentscheidungen gesamt, Asyl Art. 16a GG u. Fam.Asyl, (GFK) Fluechtlingsschutz, Subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen , sonst. Verfahrenserledigungen , Anhaengige Rechtsmittel
Herkunftslaender gesamt,328382,146168,81,23681,2113,6611,47140,66542,361059
Syrien,40250,40172,23,18571,141,335,11688,9414,58677
Afghanistan,71342,19426,8,1010,1219,5001,4589,7599,79407
Irak,32931,10053,0,499,196,235,4701,4422,38913
Russische Foed.,14391,7062,2,68,58,74,1457,5403,17422
Pakistan,16289,6386,0,589,17,46,2828,2906,16836
Albanien,3919,5882,0,1,28,81,2289,3483,4265
Kosovo,2649,4545,0,3,7,115,1902,2518,2912
Serbien,3294,4330,0,6,0,45,1654,2625,3165
Mazedonien,2907,3607,0,4,1,34,1348,2220,2451
Eritrea,5958,3161,0,250,25,19,514,2353,4821
Iran,14386,3122,16,738,17,22,841,1488,14867
Nigeria,16598,2881,5,22,0,77,1152,1625,15568
Ungeklaert,5389,2425,1,623,19,16,488,1278,6969
Ukraine,4006,2207,0,4,6,9,1192,996,3453
Somalia,7252,2191,0,73,283,109,282,1444,7206
Georgien,4013,2080,0,5,7,26,880,1162,3609
Armenien,7942,2001,0,5,4,51,704,1237,7650
Bosn.-Herzeg.,800,1082,0,0,0,17,341,724,852
Algerien,1396,1055,0,7,0,13,524,511,1277
Guinea,5076,997,0,2,0,4,275,716,4639
Marokko,1496,953,0,5,1,5,366,576,1260
Ghana,2095,902,0,3,0,3,444,452,1913
Senegal,816,611,0,7,1,13,302,288,593
Montenegro,388,535,0,0,0,12,165,358,382
