Herkunftsland, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiärer Schutz, Abschiebungsverbot, Ablehnungen , sonst. Verfahrenserledigungen (z.B. Rücknahmen) 
Gesamt,94,8152,1277,5676,32637,39117
Afghanistan,0,742,723,4056,3951,4401
Syrien,15,5093,37,488,8817,4720
Irak,2,306,207,254,3818,3505
Nigeria,3,23,2,107,1349,1865
Iran,29,555,9,36,800,1353
Russische Föderation,0,75,22,92,872,2436
Somalia,0,60,100,92,213,1255
Georgien,0,3,5,12,645,930
Pakistan,0,283,12,36,2161,1630
Gambia,0,2,1,6,473,1027
Tuerkei,4,36,5,8,297,859
Armenien,0,3,21,48,700,885
Ungeklaert,0,207,14,54,432,935
Aserbaidschan,0,10,5,14,446,904
Eritrea,0,124,26,27,328,953
Algerien,0,2,0,6,192,308
Marokko,0,10,0,5,244,300
Tunesien,0,6,0,0,67,141
Albanien,0,0,0,13,423,944
Serbien,0,0,0,13,314,888
Mazedonien,0,0,0,15,338,680
Ghana,0,1,0,6,215,325
Kosovo,0,2,0,51,272,648
Bosnien und Herzegowina,0,0,0,12,107,186
Senegal,1,0,2,5,103,96
Montenegro,0,0,0,2,48,101
