Herkunftsland, Klagen, Gerichtsentscheidungen gesamt, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen absolut, Ablehnungen Anteil, sonst. Verfahrenserledigungen (z.B. Ruecknahmen) absolut, sonst. Verfahrenserledigungen (z.B. Ruecknahmen) Anteil, anhaengige Rechtsmittel
"Staatsangehörigkeiten gesamt",133251,171905,191,15024,2588,11770,64738,"37,7%",77594,"45,1%",310959
Syrien,14235,34854,23,8854,63,1024,16075,"46,1%",8815,"25,3%",35648
Irak,13725,16174,4,640,477,601,7587,"46,9%",6865,"42,4%",35538
Afghanistan,12802,28250,4,1659,1407,8191,8274,"29,3%",8715,"30,8%",62208
Nigeria,11266,8022,5,57,11,237,2935,"36,6%",4777,"59,5%",18148
Iran,8539,5879,50,1211,18,76,1651,"28,1%",2873,"48,9%",17037
"Russische Föderation",6969,7137,7,138,35,156,2113,"29,6%",4688,"65,7%",16782
Türkei,5040,2822,10,110,13,22,859,"30,4%",1808,"64,1%",9440
Somalia,4821,3743,0,120,218,198,543,"14,5%",2664,"71,2%",7983
Pakistan,4316,7907,1,560,38,71,4157,"52,6%",3080,"39,0%",12945
Georgien,3791,3064,0,3,6,18,1249,"40,8%",1788,"58,4%",4258
Gambia,3758,2981,0,9,1,13,1058,"35,5%",1900,"63,7%",7048
Guinea,3096,2286,1,24,1,17,601,"26,3%",1642,"71,8%",5177
Aserbaidschan,2971,2756,0,24,5,43,948,"34,4%",1736,"63,0%",5632
Armenien,2942,3724,0,3,21,132,1563,"42,0%",2005,"53,8%",6815
Eritrea,2871,2966,5,202,70,62,673,"22,7%",1954,"65,9%",4380
Marokko,869,997,0,16,1,17,373,"37,4%",590,"59,2%",1057
Tunesien,430,383,0,11,0,0,112,"29,2%",260,"67,9%",467
Algerien,875,1008,0,5,0,11,334,"33,1%",658,"65,3%",1094
Albanien,1292,2454,0,3,7,83,699,"28,5%",1662,"67,7%",2740
Serbien,1199,2028,0,0,0,34,544,"26,8%",1450,"71,5%",2033
Nordmazedonien,1240,1755,0,2,0,37,529,"30,1%",1187,"67,6%",1728
Kosovo,791,1656,0,2,6,75,489,"29,5%",1084,"65,5%",1844
Ghana,835,1127,0,3,0,13,467,"41,4%",644,"57,1%",1512
"Bosnien und Herzegowina",345,545,0,0,3,24,178,"32,7%",340,"62,4%",549
Senegal,311,388,1,0,1,14,165,"42,5%",207,"53,4%",494
Montenegro,159,279,0,0,0,3,86,"30,8%",190,"68,1%",235
