Herkunftsland, Asyl Art.16a GG u. Fam. Asyl, (GFK) Flüchtlingsschutz, subsidiaerer Schutz, Abschiebungsverbot, Ablehnungen absolut
Syrien,23,8854,63,1024,16075
Irak,4,640,477,601,7587
Afghanistan,4,1659,1407,8191,8274
Nigeria,5,57,11,237,2935
Iran,50,1211,18,76,1651
Russische Föderation,7,138,35,156,2113
Türkei,10,110,13,22,859
Somalia,0,120,218,198,543
Pakistan,1,560,38,71,4157
Georgien,0,3,6,18,1249
Gambia,0,9,1,13,1058
Aserbaidschan,0,24,5,43,948
Armenien,0,3,21,132,1563
Eritrea,5,202,70,62,673
