Widerrufsverfahren,,,,,,,,,
"Januar–Oktober2014","eingelegteKlagen, Be-rufungen,Revisionen","GerichtsentscheidungenWiderruf Art. 16a GG/sonst. Verfahrens-Flüchtlingseigenschaft/kein Widerruferledigungensubs. Schutz(z.B. Rücknahmen)absolutin Prozentabsolutin Prozentabsolutin Prozent","anhängigeRechts-mittel",,,,,,
"",,,"Widerruf Art. 16a GG/Flüchtlingseigenschaft/subs. Schutz",kein Widerruf,"sonst. Verfahrens-erledigungen(z.B. Rücknahmen)",,,,
"",,,absolut,in Prozent,absolut,in Prozent,absolut,in Prozent,
"Herkunfts-ländergesamt",281,248,79,"31,9",71,"28,6",98,"39,5",478
darunter,,,,,,,,,
"Afghanis-tan",19,21,6,"28,6",5,"23,8",10,"47,6",47
Angola,5,1,0,"0,0",1,"100,0",0,"0,0",15
Armenien,9,4,1,"25,0",2,"50,0",1,"25,0",9
"Äthiopien",3,1,1,"100,0",0,"0,0",0,"0,0",4
China,3,0,0,,0,,0,,5
Eritrea,5,0,0,,0,,0,,5
Irak,37,42,14,"33,3",11,"26,2",17,"40,5",91
Iran,13,10,3,"30,0",3,"30,0",4,"40,0",18
"Kongo,Dem. Rep.",4,0,0,,0,,0,,10
Kosovo,55,19,8,"42,1",0,"0,0",11,"57,9",58
Marokko,3,1,1,"100,0",0,"0,0",0,"0,0",3
Russ. Föd.,3,5,2,"40,0",0,"0,0",3,"60,0",12
Sri Lanka,20,20,7,"35,0",9,"45,0",4,"20,0",19
Syrien,18,15,2,"13,3",5,"33,3",8,"53,3",15
