Erst- und Folgeanträge,,,,,,,,,,,,,,,,,,,,,,,,
"Januar –November2015",,"Klagen,",,Gerichtsentscheidungen,"anhängigeRechts-mittel",,,,,,,,,,,,,,,,,,,
"",,,Beru-,,,,,,,,,,,,,,,,,,,,,
"",,,"fungen,",,,,,,,,,,,,,,,,,,,,,
"",,,Revisio-,,,,,,,,,,,,,,,,,,,,,
"",,,nen,,,,,,,,,,,,,,,,,,,,,
"",,,,,,Asyl,,,(GFK),,"subsidi-ärerSchutz",,,Ab-,,Ablehnungen,"sonst. Verfah-renserledigungen(z.B. Rücknahmen)",,,,,,,
"",,,,,Art.16a,Flücht-,,schie-,blehnungen,,,,,,,,,,,,,,,
"",,,,,,,GG u.,lings-,,bungs-,,,,,,,,,,,,,,
"",,,,,,,Fam.Asyl,schutz,verbot,,,,,,,,,,,,,,,
"",,,,,,,,,,,absolut,"in Pro-zent",absolut,"in Pro-zent",,,,,,,,,,
l,erkunfts,,67.669,67.66,56.325,56.32,78,78,1.352,1.352,258,258,740,740,16.552,16.55,"29,4%","29,4",37.345,37.34,"66,3%","66,3",57.674,57.67
"",nder,,,,,,,,,,,,,,,,,,,,,,,
"",esamt,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",darunter,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,15.771,9.784,0,0,0,52,3.846,"39,3%",5.886,"60,2%",7.745,,,,,,,,,,,,,
Albanien,11.704,4.890,0,0,11,24,1.836,"37,5%",3.019,"61,7%",8.117,,,,,,,,,,,,,
Serbien,10.044,12.112,0,0,0,47,4.441,"36,7%",7.624,"62,9%",6.559,,,,,,,,,,,,,
Syrien,4.876,3.567,10,217,0,5,50,"1,4%",3.285,"92,1%",3.892,,,,,,,,,,,,,
Mazedonien,4.226,4.767,0,6,0,37,1.828,"38,3%",2.896,"60,8%",3.550,,,,,,,,,,,,,
Russ. Föd.,2.644,2.484,3,37,24,13,459,"18,5%",1.948,"78,4%",4.762,,,,,,,,,,,,,
Afghanistan,2.427,2.325,2,225,94,295,279,"12,0%",1.430,"61,5%",3.776,,,,,,,,,,,,,
Bosn.-Herzeg.,1.780,2.377,0,0,0,41,853,"35,9%",1.483,"62,4%",1.297,,,,,,,,,,,,,
Irak,1.300,756,1,24,7,8,36,"4,8%",680,"89,9%",1.341,,,,,,,,,,,,,
Georgien,1.050,999,0,5,4,18,234,"23,4%",738,"73,9%",963,,,,,,,,,,,,,
Montenegro,936,651,0,0,0,13,268,"41,2%",370,"56,8%",749,,,,,,,,,,,,,
Pakistan,897,1.300,0,295,6,15,426,"32,8%",558,"42,9%",1.370,,,,,,,,,,,,,
Somalia,874,1.066,4,43,79,19,101,"9,5%",820,"76,9%",1.775,,,,,,,,,,,,,
Eritrea,751,614,2,44,0,1,19,"3,1%",548,"89,3%",670,,,,,,,,,,,,,
