Widerrufsverfahren,,,,,,,,,,,,,,,,,,,,
"Januar – No-vember 2015","eingelegteKlagen, Be-rufungen,Revisionen",Gerichtsentscheidungen,"anhängigeRechts-mittel",,,,,,,,,,,,,,,,,
"",,,,,,,"Widerruf Art.16a GG/Flüchtlingsei-genschaft /subs. Schutzabso-in Pro-lutzent",Widerruf Art.,"kein Widerrufabso-in Pro-lutzent","sonst. Verfah-renserledigun-gen (z.B. Rück-nahmen)abso-in Pro-lutzent",,,,,,,,,,
"",,,,,,,,,,,,,,,sonst. Verfah-,,,,,
"",,,,eingelegte,16a GG/,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,renserledigun-,,,,,
"",,,,"Klagen, Be-",Flüchtlingsei-,kein Widerruf,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,gen (z.B. Rück-,,,,,
"",,,,"rufungen,",genschaft /,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,nahmen),,,,,
"",,,,Revisionen,,,,,,,,,,,,,,,,
"",Herkunftsländer,,145,145,215,215,68,68,"31,6%","31,6",55,55,"25,6%","25,6",92,92,"42,8%","42,8",359,359
"",gesamt,,,,,,,,,,,,,,,,,,,
"",arunter,,,,,,,,,,,,,,,,,,,
Türkei,44,56,17,"30,4%",16,"28,6%",23,"41,1%",79,,,,,,,,,,,
Kosovo,20,31,7,"22,6%",5,"16,1%",19,"61,3%",44,,,,,,,,,,,
Afghanistan,9,18,6,"33,3%",5,"27,8%",7,"38,9%",35,,,,,,,,,,,
Syrien,8,10,2,"20,0%",0,"0,0%",8,"80,0%",6,,,,,,,,,,,
Sri Lanka,9,9,0,"0,0%",8,"88,9%",1,"11,1%",16,,,,,,,,,,,
Russ. Föd.,3,7,5,"71,4%",2,"28,6%",0,"0,0%",6,,,,,,,,,,,
Angola,1,6,1,"16,7%",2,"33,3%",3,"50,0%",9,,,,,,,,,,,
"Kongo, Dem. Rep.",1,5,1,"20,0%",0,"0,0%",4,"80,0%",6,,,,,,,,,,,
