Gerichtsentscheidungen zu Eilantraegen im Dublinverfahren,,,
Jan. – Nov. 2015,abgelehnt,stattgegeben,Gesamtentscheidungen
Belgien,284,23,307
Bulgarien,361,107,468
Daenemark u. Faeröer,83,4,87
Finnland,5,1,6
Frankreich,534,79,613
"Großbritannien mitNordirland",4,1,5
Italien,1.973,689,2.662
Kroatien,18,,18
Lettland,15,7,22
Litauen,75,17,92
Luxemburg,21,,21
Malta,43,33,76
Niederlande,193,17,210
Norwegen,55,11,66
"Österreich",199,11,210
Polen,1.331,188,1.519
Portugal,13,4,17
Rumaenien,42,11,53
Schweden,176,13,189
Schweiz,131,10,141
Slowakische Rep.,32,5,37
Slowenien,12,4,16
Spanien,504,77,581
Tschechische Rep.,57,9,66
Ungarn,1.794,1.498,3.292
Zypern,2,16,18
Estland,1,,1
