Erst- und Folgeanträge,,,,,,,,,,,
Jan. – Dez. 2017,"Klagen,",Gerichtsentscheidungen,"anhängigeRechts-mittel",,,,,,,,
"",,,"AsylArt. 16aGG u.Fam.Asyl","(GFK)Flücht-lings-schutz","subsi-diärerSchutz","Abschie-bungs-verbot",Ablehnungen,"sonst. Ver-fahrenserle-digungen (z. B.Rücknahmen)",,,
"",,,,,,,absolut,Anteil,absolut,Anteil,
"Herkunftsländergesamt",328.382,146.168,81,23.681,2.113,6.611,47.140,"32,3%",66.542,"45,5%",361.059
darunter,,,,,,,,,,,
Syrien,40.250,40.172,23,18.571,141,335,11.688,"29,1%",9.414,"23,4%",58.677
Afghanistan,71.342,19.426,8,1.010,1.219,5.001,4.589,"23,6%",7.599,"39,1%",79.407
Irak,32.931,10.053,0,499,196,235,4.701,"46,8%",4.422,"44,0%",38.913
Russische Föd.,14.391,7.062,2,68,58,74,1.457,"20,6%",5.403,"76,5%",17.422
Pakistan,16.289,6.386,0,589,17,46,2.828,"44,3%",2.906,"45,5%",16.836
Albanien,3.919,5.882,0,1,28,81,2.289,"38,9%",3.483,"59,2%",4.265
Kosovo,2.649,4.545,0,3,7,115,1.902,"41,8%",2.518,"55,4%",2.912
Serbien,3.294,4.330,0,6,0,45,1.654,"38,2%",2.625,"60,6%",3.165
Mazedonien,2.907,3.607,0,4,1,34,1.348,"37,4%",2.220,"61,5%",2.451
Eritrea,5.958,3.161,0,250,25,19,514,"16,3%",2.353,"74,4%",4.821
Iran,14.386,3.122,16,738,17,22,841,"26,9%",1.488,"47,7%",14.867
Nigeria,16.598,2.881,5,22,0,77,1.152,"40,0%",1.625,"56,4%",15.568
Ungeklärt,5.389,2.425,1,623,19,16,488,"20,1%",1.278,"52,7%",6.969
Ukraine,4.006,2.207,0,4,6,9,1.192,"54,0%",996,"45,1%",3.453
Somalia,7.252,2.191,0,73,283,109,282,"12,9%",1.444,"65,9%",7.206
Georgien,4.013,2.080,0,5,7,26,880,"42,3%",1.162,"55,9%",3.609
Armenien,7.942,2.001,0,5,4,51,704,"35,2%",1.237,"61,8%",7.650
Bosn.-Herzeg.,800,1.082,0,0,0,17,341,"31,5%",724,"66,9%",852
Algerien,1.396,1.055,0,7,0,13,524,"49,7%",511,"48,4%",1.277
Guinea,5.076,997,0,2,0,4,275,"27,6%",716,"71,8%",4.639
Marokko,1.496,953,0,5,1,5,366,"38,4%",576,"60,4%",1.260
