Widerrufsverfahren,,,,,,,,,
Jan. – Dez. 2017,"eingelegteKlagen",Gerichtsentscheidungen,"anhängigeRechts-mittel",,,,,,
"",,"Widerruf Art. 16a GG/Flüchtlingseigenschaft /subs. Schutz","keinWiderruf","sonst. Verfahrenserledigungen(z. B. Rücknahmen)",,,,,
"",,absolut,in Prozent,absolut,Anteil,absolut,Anteil,,
"Herkunftsländergesamt",219,122,53,"43,1%",15,"12,2%",54,"44,3%",388
darunter,,,,,,,,,
Syrien,45,13,6,"46,2%",2,"15,4%",5,"38,5%",63
Afghanistan,35,26,11,"42,3%",3,"11,5%",12,"46,2%",61
Irak,22,5,1,"20,0%",1,"20,0%",3,"60,0%",53
Ungeklärt,23,3,0,"0,0%",0,"0,0%",3,"100,0%",31
Türkei,19,26,5,"19,2%",7,"26,9%",14,"53,8%",47
Russische Föd.,11,1,0,"0,0%",0,"0,0%",1,"100,0%",14
"sonst. asiat.Staatsangeh.",9,6,6,"100,0%",0,"0,0%",0,"0,0%",9
Serbien,8,4,2,"50,0%",0,"0,0%",2,"50,0%",7
Iran,7,9,0,"0,0%",1,"11,1%",8,"88,9%",11
Kosovo,7,5,4,"80,0%",0,"0,0%",1,"20,0%",12
Aserbaidschan,5,0,0,,0,,0,,8
Armenien,4,6,4,"66,7%",0,"0,0%",2,"33,3%",3
Sri Lanka,4,5,3,"60,0%",0,"0,0%",2,"40,0%",10
Eritrea,4,1,1,"100,0%",0,"0,0%",0,"0,0%",5
Somalia,3,0,0,,0,,0,,4
